Site,Loop,ID
Site: 001,A,15747
Site: 003,A,15759
Site: 004,A,15733
Site: 005,A,15757
Site: 006,A,15740
Site: 007,A,15739
Site: 008,A,15730
Site: 009,A,15760
Site: 010,A,15720
Site: 011,A,15742
Site: 012,A,15741
Site: 013,A,15758
Site: 014,A,15775
Site: 015,A,15751
Site: 016,A,15750
Site: 017,A,15734
Site: 018,A,15729
Site: 019,A,15774
Site: 020,A,15717
Site: 021,A,15755
Site: 022,A,15732
Site: 023,A,15776
Site: 024,A,15718
Site: 025,A,15743
Site: 026,A,15721
Site: 027,B,15748
Site: 028,B,15724
Site: 029,B,15753
Site: 030,B,15782
Site: 031,B,15735
Site: 032,B,15736
Site: 033,B,15770
Site: 034,B,15763
Site: 035,B,15752
Site: 036,B,15764
Site: 037,B,15722
Site: 038,B,15777
Site: 039,B,15744
Site: 040,B,15762
Site: 041,B,15769
Site: 042,B,15723
Site: 043,B,15745
Site: 044,C,15749
Site: 045,C,15778
Site: 046,C,15765
Site: 047,C,15780
Site: 048,C,15719
Site: 049,C,15728
Site: 050,C,15766
Site: 051,C,15725
Site: 052,C,15772
Site: 053,C,15731
Site: 054,C,15779
Site: 055,C,15754
Site: 056,C,15768
Site: 057,C,15746
Site: 058,C,15784
Site: 059,C,15783
Site: 060,C,15761
Site: 061,C,15737
Site: 062,C,15771
Site: 063,C,15726
Site: 064,C,15781
Site: 065,C,15756